key,count,sum,min,max,avg,rate,p95
getTrend,89,403185.132594,27.375630,15194.858679,4530.170029,0.132849,13561.004709
getIsuList,604,371013.423870,0.011610,3115.830118,614.260636,0.691564,1950.635528
getIsuConditionsFromDB,917,92831.647927,0.564462,367.525802,101.234076,0.839657,215.345434
getIsuConditions,1603,70141.685033,0.012242,378.384758,68.231211,1.420077,212.072596
getIsuGraph,733,28325.576045,0.011320,420.714797,38.643351,0.699569,164.495636
generateIsuGraphResponse,243,20623.377371,0.366381,407.284160,84.869866,0.284914,239.570821
getIsuIcon,1884,16657.611467,0.013178,177.629952,16.203902,2.875866,60.474070
getUserIDFromSession,5797,5219.204549,0.009707,110.811958,5.077047,7.226122,25.660594
getIsuID,555,5156.836652,0.012322,258.631875,9.291598,0.801460,39.637986
postIsu,55,3480.799293,0.014035,114.086645,63.287260,0.258695,107.235322
postAuthentication,1139,1702.374636,0.002442,55.772419,1.656006,1.034042,11.020330
postIsuCondition,75972,1464.473960,0.000476,55.659131,1.424586,61.917848,7.775161
getMe,210,550.944517,0.013900,56.916519,2.623545,0.281258,16.728882
postSignout,153,501.411894,0.015360,41.188550,3.277202,0.177384,23.684746
getSession,6205,95.636999,0.000682,1.863173,0.093032,7.686761,0.188371
getJIAServiceURL,52,87.796010,0.292909,14.614809,1.688385,0.244585,5.855632
getIndex,286,15.924982,0.021916,1.799039,0.055682,0.149347,0.088552
calculateGraphDataPoint,11270,13.067649,0.001011,0.246641,0.012712,10.778640,0.027328
isValidConditionFormat,179885,0.296344,0.000098,0.004856,0.000288,137.019933,0.000722
calculateConditionLevel,249348,0.174683,0.000082,0.007860,0.000170,182.248801,0.000338
