key,count,sum,min,max,avg,rate,p95
getTrend,441,534415.096898,27.725651,2924.907659,1211.825617,4.855446,2374.991478
getIsuList,1715,52160.085759,0.013846,163.557927,50.739383,17.495905,98.644085
getIsuConditions,4952,39578.958844,0.018802,152.930042,38.500933,46.080155,82.991340
getIsuGraph,1466,36818.735504,0.012594,150.208397,35.815891,14.697056,76.699227
getIsuIcon,11437,23325.321944,0.019434,116.253619,22.690002,113.262668,54.050646
getIsuID,1810,19938.323427,0.013542,118.683217,19.395256,20.072306,43.966641
getIsuConditionsFromDB,4490,18909.971029,0.483456,97.701265,18.394913,41.189834,44.620915
generateIsuGraphResponse,1136,12769.431129,0.359762,69.622481,12.421626,11.087710,29.329019
getUserIDFromSession,22446,11747.137302,0.011557,94.385058,11.427176,226.121751,31.662558
postIsuCondition,77095,6649.170637,0.000448,137.397854,6.468065,761.724211,65.797574
postAuthentication,1024,5885.217681,0.002746,60.801045,5.747283,11.308938,21.900537
postIsu,58,3561.511027,0.013811,93.722681,61.405363,3.443084,87.675159
getMe,651,3106.841565,0.014210,63.504686,4.772414,6.891200,21.442763
postSignout,357,2721.039538,0.015865,58.451238,7.621959,3.769396,19.888322
getSession,23231,124.490253,0.000868,7.522702,0.121099,235.238047,0.238301
getJIAServiceURL,55,96.100295,0.324472,14.802479,1.747278,3.256242,8.087997
getIndex,843,57.890319,0.022068,2.661646,0.068672,6.246108,0.116366
calculateGraphDataPoint,75297,28.698298,0.001081,6.140670,0.027917,794.987157,0.033880
isValidConditionFormat,792043,0.281595,0.000104,0.018319,0.000274,7959.169847,0.000565
calculateConditionLevel,2427575,0.159691,0.000078,0.001275,0.000155,24100.209423,0.000225
