key,count,sum,min,max,avg,rate,p95
getTrend,1,42.543356,42.543356,42.543356,42.543356,0.067693,42.543356
postAuthentication,2,9.278875,0.620790,8.658085,4.639437,0.135386,8.658085
getIsuList,2,7.022436,1.949917,5.072519,3.511218,0.135386,5.072519
getUserIDFromSession,12,5.484319,0.395201,0.611081,0.457027,0.812317,0.611081
getIsuIcon,4,3.605438,0.844869,0.961561,0.901359,0.270772,0.961561
getIsuGraph,2,2.761383,1.326433,1.434950,1.380691,0.135386,1.434950
getIndex,11,2.216689,0.030582,1.861280,0.201517,0.116405,1.861280
getIsuID,2,1.924083,0.923994,1.000089,0.962041,0.135386,1.000089
getMe,2,1.196218,0.549907,0.646311,0.598109,0.135386,0.646311
getSession,14,1.066178,0.004764,0.108746,0.076156,0.947703,0.108746
generateIsuGraphResponse,2,0.358083,0.161771,0.196312,0.179041,0.135386,0.196312
postIsuCondition,2,0.065090,0.002377,0.062713,0.032545,0.135386,0.062713
calculateConditionLevel,34,0.020847,0.000256,0.002573,0.000613,2.301565,0.001468
