key,count,sum,min,max,avg,rate,p95
getIsuList,649,391884.439105,0.012710,2890.609998,603.828103,6.551089,1995.295605
getTrend,77,313773.171194,28.414018,15585.934606,4074.976249,1.049819,12326.138725
getIsuConditionsFromDB,1017,87235.826366,0.578875,345.095579,85.777607,9.038199,198.084139
getIsuConditions,1724,60625.250094,0.014280,349.580328,58.973979,15.859017,195.800943
getIsuGraph,766,24366.330538,0.012745,245.660331,31.809831,7.862327,165.732812
generateIsuGraphResponse,261,17316.492517,0.621007,241.096943,66.346715,2.992146,182.700644
getIsuIcon,2176,13285.871888,0.013970,130.000860,12.924000,20.019635,50.665221
getIsuID,608,4137.468482,0.012732,83.342439,6.805047,8.238571,33.301704
getUserIDFromSession,6323,4104.638786,0.009750,92.796374,3.992839,65.772961,17.860741
postIsu,55,3225.831362,0.015491,100.343042,58.651479,3.197963,79.335977
postIsuCondition,76042,1681.059994,0.000474,65.375542,1.635272,693.732847,8.998114
postAuthentication,1164,1549.968286,0.002165,53.990002,1.507751,12.274198,7.997044
postSignout,148,253.468423,0.012928,64.436845,1.712624,1.601671,9.010353
getMe,197,247.128345,0.013376,23.787132,1.254459,2.298018,8.870526
getSession,6724,99.077751,0.000944,2.436517,0.096379,70.480314,0.198091
getJIAServiceURL,52,75.160639,0.328914,10.887551,1.445397,3.011121,9.811194
getIndex,290,22.286664,0.024207,3.153289,0.076851,2.024611,0.114843
calculateGraphDataPoint,1662,15.400456,0.000981,0.569109,0.014981,24.230745,0.034633
isValidConditionFormat,90420,1.286600,0.000099,0.735109,0.001252,805.082565,0.000841
calculateConditionLevel,249404,0.229545,0.000075,0.062123,0.000223,2114.675876,0.000297
