key,count,sum,min,max,avg,rate,p95
getTrend,453,568309.938819,34.650799,2964.323349,1254.547326,4.004741,2495.396668
getIsuList,1744,53912.648413,0.012235,152.227733,52.444211,15.957417,101.117436
getIsuConditions,5045,37548.855607,0.015849,165.371776,36.526124,45.992238,77.106089
getIsuGraph,1468,30292.743517,0.016398,142.892937,29.467649,14.060491,63.399312
getIsuIcon,11652,24177.003476,0.019656,112.130675,23.518486,103.633453,54.542182
getIsuID,1850,19416.789442,0.011703,111.881996,18.887927,19.415742,44.629058
getIsuConditionsFromDB,4583,18451.476860,0.457609,105.416171,17.948907,41.280153,43.850934
getUserIDFromSession,22887,11711.384470,0.010712,77.957922,11.392397,212.702369,30.518973
postIsuCondition,77335,8637.491113,0.000334,160.078842,8.402229,717.372796,72.829718
generateIsuGraphResponse,1138,6789.872176,0.454045,37.015622,6.604934,10.701832,18.248213
postAuthentication,1055,6002.746975,0.002262,91.471707,5.839248,10.748199,23.416558
postIsu,58,3517.957374,0.013766,91.927080,60.654437,3.443084,86.262077
getMe,692,3257.748176,0.012614,47.029577,4.707729,6.539412,19.459937
postSignout,378,2933.216478,0.011979,52.497455,7.759832,3.544878,22.070076
getSession,23715,145.907974,0.001008,14.968773,0.141934,220.803611,0.235778
getIndex,876,71.703416,0.023711,3.506768,0.081853,6.661252,0.158492
getJIAServiceURL,55,70.165802,0.306999,8.007955,1.275742,3.256242,4.642323
calculateGraphDataPoint,7380,26.804424,0.000965,4.910118,0.026074,75.967055,0.036564
isValidConditionFormat,145714,0.672770,0.000104,0.247995,0.000654,1326.498724,0.000824
calculateConditionLevel,2516240,0.168284,0.000078,0.007710,0.000164,25246.978986,0.000239
