key,count,sum,min,max,avg,rate,p95
getTrend,2555,508373.140246,43.073312,1461.465106,494.526401,25.151880,904.830006
getIsuConditions,6553,75317.598340,0.018018,448.621880,73.266146,51.348455,178.495709
getIsuGraph,1953,54518.309050,0.014478,312.347702,53.033375,16.922501,134.385549
getIsuList,1816,48161.248289,0.011723,417.810948,46.849463,17.200348,135.312596
getIsuIcon,10103,46851.196725,0.017259,526.493312,45.575094,102.709454,120.876616
getIsuID,1933,44916.367362,0.014176,526.205435,43.692964,19.269496,122.957756
getIsuConditionsFromDB,6196,31812.830462,0.460201,392.946538,30.946333,47.857008,87.972837
getUserIDFromSession,23614,23860.317219,0.012301,312.225625,23.210425,220.562835,79.309840
postAuthentication,920,10971.726314,0.002642,209.837108,11.925789,8.826752,53.413258
postIsu,121,10638.570357,0.015065,255.102264,87.922069,2.791998,143.237875
postSignout,390,7647.541799,0.016638,333.485573,19.609082,3.539409,73.734944
postIsuCondition,136267,7248.061913,0.000318,200.685901,7.050644,1039.936443,59.171385
getMe,745,7222.320809,0.011596,141.048551,9.694390,6.734966,45.840410
generateIsuGraphResponse,1698,5396.998001,0.494996,30.459052,5.249998,14.436803,12.561819
getJIAServiceURL,118,503.709951,0.325837,21.944913,4.268728,2.658120,16.081811
getSession,24463,151.809556,0.001111,8.179448,0.147675,228.748273,0.319853
getIndex,3006,90.256645,0.020584,12.376565,0.087798,15.037159,0.119704
calculateGraphDataPoint,11703,22.803364,0.001055,1.941441,0.022182,87.334282,0.038556
isValidConditionFormat,241723,0.541193,0.000098,0.031620,0.000526,1764.735231,0.000910
calculateConditionLevel,3005717,0.188569,0.000080,0.008545,0.000183,22359.297108,0.000292
