key,count,sum,min,max,avg,rate,p95
getTrend,3037,488800.541403,16.570269,1801.574339,475.486908,36.895067,941.345440
getIsuConditions,7138,75214.263479,0.016635,510.274989,73.165626,77.798151,182.548061
getIsuGraph,2206,52005.540282,0.012232,492.803194,50.589047,26.565417,134.641143
getIsuList,2056,47489.466117,0.013697,382.131783,46.195979,25.675640,125.008980
getIsuIcon,11656,44083.526543,0.020716,433.545969,42.882808,155.202676,124.124153
getIsuID,2193,42656.582654,0.011903,379.494890,41.494730,29.341986,121.884073
getIsuConditionsFromDB,6775,29148.301676,0.418365,279.996445,28.354379,73.213557,88.541904
getUserIDFromSession,26668,22645.011854,0.013155,434.176800,22.028222,335.189596,76.812148
postAuthentication,982,12897.346729,0.002662,208.538632,13.133754,13.115588,59.579919
postIsu,135,11924.939129,0.015083,282.826495,88.332882,4.005478,161.601999
getMe,845,8538.653804,0.011506,254.823485,10.104916,10.604284,47.322505
postSignout,439,8048.711246,0.013109,219.035641,18.334194,5.530574,78.131264
postIsuCondition,148367,6295.456003,0.000170,250.216307,6.123984,1544.240527,53.181229
generateIsuGraphResponse,1946,4785.253697,0.427642,35.366356,4.654916,23.287742,10.549200
getJIAServiceURL,132,503.677409,0.293506,19.548149,3.815738,3.818636,12.035433
getSession,27619,161.361039,0.001163,7.866778,0.156966,347.987846,0.301582
getIndex,3557,74.826735,0.019215,4.282893,0.072789,24.535678,0.139261
calculateGraphDataPoint,12662,23.706327,0.001002,1.123244,0.023061,132.596829,0.042051
isValidConditionFormat,260963,0.477403,0.000103,0.010937,0.000464,2634.361111,0.000881
calculateConditionLevel,3247021,0.201136,0.000080,0.016050,0.000196,33964.388143,0.000313
