key,count,sum,min,max,avg,rate,p95
getTrend,3480,456701.386126,35.756392,1591.707520,444.262049,25.647182,907.464861
getIsuConditions,7923,68738.794388,0.008220,630.495518,66.866532,76.084842,170.864581
getIsuGraph,2453,48872.707813,0.008357,429.610878,47.541545,24.301036,128.948779
getIsuList,2470,46427.442266,0.008416,494.993919,45.162882,21.793092,138.184744
getIsuIcon,13933,43654.681062,0.008850,493.329738,42.465643,117.768132,124.822041
getIsuID,2551,39361.145539,0.008063,471.573038,38.289052,22.894803,113.081930
getIsuConditionsFromDB,7524,25520.916421,0.850131,318.571014,24.825794,72.293871,76.432041
getUserIDFromSession,30979,21621.032150,0.003847,309.424370,21.032132,278.318191,75.859510
postIsu,139,14434.161349,0.006585,425.456288,103.842887,1.528438,242.087989
postAuthentication,1109,11827.641858,0.002357,397.817015,11.505488,10.540291,47.798193
getMe,994,7845.599226,0.005829,206.168895,7.892957,9.030019,35.646061
postSignout,516,7317.614298,0.007016,174.954402,14.181423,4.660727,51.870557
postIsuCondition,152847,5543.867677,0.000304,247.577285,5.392867,1463.625831,50.079446
generateIsuGraphResponse,2168,4591.390994,0.441532,29.756541,4.466334,21.591280,11.441415
getJIAServiceURL,136,637.108265,0.299462,24.259993,4.684620,1.680846,17.059070
getSession,32089,142.081527,0.001068,8.112033,0.138212,288.475023,0.286892
getIndex,4078,59.053256,0.013541,2.981531,0.057445,29.776195,0.141440
calculateGraphDataPoint,13508,25.035419,0.001003,0.905380,0.024354,144.947136,0.049781
isValidConditionFormat,280896,0.518925,0.000096,0.059359,0.000505,2734.686136,0.000784
calculateConditionLevel,3700873,0.275547,0.000076,0.063977,0.000268,38416.827447,0.000311
