key,count,sum,min,max,avg,rate,p95
getTrend,3472,503652.424487,41.299703,1527.355545,489.934265,16.995281,956.380451
getIsuConditions,7279,75330.008236,0.017460,603.020988,73.278218,46.195822,172.938433
getIsuGraph,2119,60428.561313,0.011833,401.317287,58.782647,13.800711,149.297889
getIsuList,2009,50030.885178,0.015370,397.901374,48.668176,11.514408,122.930283
getIsuIcon,11587,45791.641045,0.009171,304.765156,44.544398,64.413823,124.988732
getIsuID,2151,41603.160196,0.012104,327.219528,40.470000,12.558811,115.406262
getIsuConditionsFromDB,6936,29255.435725,0.411709,382.832330,28.458595,44.016277,75.954787
getUserIDFromSession,26575,23429.273089,0.011971,577.915986,22.791122,156.811760,79.111449
postIsu,153,15862.387653,0.013429,451.270110,103.675736,0.953350,192.385569
postAuthentication,951,12092.465525,0.002239,262.138324,12.715526,5.780751,52.876556
getMe,842,8911.790463,0.010877,451.412678,10.584074,4.817763,44.819346
postSignout,435,7358.511634,0.014411,177.963185,16.916119,2.603236,59.604884
generateIsuGraphResponse,1874,7301.787643,0.398606,30.215956,7.102906,12.245369,17.184002
postIsuCondition,161012,4177.797575,0.000295,223.904300,4.064005,1026.263020,30.539978
getJIAServiceURL,150,690.873537,0.290552,26.844042,4.605824,0.867666,15.227695
getSession,27518,147.065626,0.000926,8.503331,0.143060,162.277988,0.296505
getIndex,3971,70.090988,0.018754,7.380125,0.068182,19.483678,0.110336
calculateGraphDataPoint,12027,33.446609,0.001005,8.082237,0.032536,86.154376,0.043669
isValidConditionFormat,275071,0.327583,0.000103,0.015376,0.000319,1781.235789,0.000632
calculateConditionLevel,3301324,0.184815,0.000078,0.007212,0.000180,22583.125367,0.000346
