key,count,sum,min,max,avg,rate,p95
getTrend,3984,490563.420651,15.365476,1738.041097,477.201771,19.526405,936.678175
getIsuConditions,8235,70862.388705,0.007245,396.447097,68.932285,52.318171,167.733793
getIsuGraph,2415,56151.995569,0.006286,914.709440,54.622564,15.567281,137.981441
getIsuList,2429,47103.913692,0.007719,440.341779,45.820928,13.888291,127.284828
getIsuIcon,14178,42758.957418,0.008129,422.130189,41.594317,78.816252,114.809960
getIsuID,2579,39834.679303,0.006221,516.952547,38.749688,15.027871,113.425577
getIsuConditionsFromDB,7857,30340.146411,0.586258,436.827608,29.513761,49.957217,86.872588
getUserIDFromSession,31463,21843.356347,0.004346,326.307273,21.248401,185.408203,70.298239
postIsu,167,17059.072550,0.009755,304.881387,102.150135,1.078812,186.574744
postAuthentication,1075,13117.210972,0.001721,298.313269,12.759933,6.717528,54.386988
getMe,963,9199.464798,0.005577,326.320299,9.552923,5.722110,42.988099
postSignout,497,7999.092808,0.006803,403.411389,16.094754,2.951168,48.344821
generateIsuGraphResponse,2145,6087.387022,0.515983,42.540966,5.921583,13.884871,14.464618
postIsuCondition,170396,4292.932845,0.000330,307.163398,4.176005,1094.250199,26.678739
getJIAServiceURL,164,833.668422,0.294094,20.969273,5.083344,0.955639,18.012999
getSession,32538,158.219043,0.001135,8.113010,0.153910,191.916723,0.328246
getIndex,4547,65.593576,0.013474,15.901993,0.063807,22.291471,0.115080
calculateGraphDataPoint,13424,33.346002,0.000998,6.009385,0.032438,94.850266,0.060938
isValidConditionFormat,301766,0.395606,0.000100,0.050268,0.000385,1967.307190,0.000692
calculateConditionLevel,3785976,0.212599,0.000077,0.008267,0.000207,26048.731980,0.000336
