key,count,sum,min,max,avg,rate,p95
getTrend,4248,456984.373265,26.573954,1330.934464,444.537328,71.058286,892.336906
getIsuConditions,8323,77110.210985,0.008792,583.927239,75.009933,109.941755,198.869647
getIsuGraph,2459,53695.415927,0.007088,510.518575,52.232895,23.139644,136.171283
getIsuList,2573,44286.707073,0.009173,384.434879,43.080454,21.888292,111.879723
getIsuIcon,14938,42311.359309,0.009464,531.003413,41.158910,123.870575,121.644646
getIsuID,2693,40373.034076,0.006965,414.700655,39.273379,22.895022,110.077280
getIsuConditionsFromDB,7938,29229.465832,0.439426,344.070428,28.433333,103.597018,83.665913
getUserIDFromSession,32646,22214.280672,0.004104,358.805306,21.609222,284.836593,80.631933
postIsu,167,18147.204160,0.006805,417.586473,108.665893,4.663805,190.024570
postAuthentication,1086,12379.320866,0.002363,280.331891,12.042141,9.198283,51.499614
postSignout,508,8732.397297,0.005930,358.256730,17.189758,7.627698,64.851804
getMe,985,7798.233915,0.005413,136.649645,7.916989,8.313450,37.290927
generateIsuGraphResponse,2184,6050.752499,0.389793,35.316758,5.885946,20.799524,15.407301
postIsuCondition,170368,3531.757381,0.000300,146.552422,3.435562,2006.121190,28.077592
getJIAServiceURL,164,830.487915,0.296879,36.437411,5.063951,4.460726,17.024348
getSession,33743,147.044669,0.000844,6.358962,0.143040,293.980834,0.332365
getIndex,4822,61.103419,0.013791,1.914363,0.059439,36.015068,0.139862
calculateGraphDataPoint,13224,25.124675,0.001032,1.123519,0.024440,133.935855,0.045815
isValidConditionFormat,298940,0.330099,0.000102,0.019860,0.000321,2974.450542,0.000664
calculateConditionLevel,3744931,0.193930,0.000078,0.011182,0.000189,39285.359380,0.000311
