key,count,sum,min,max,avg,rate,p95
getTrend,4216,459506.215199,85.701043,1886.469239,446.990482,53.987217,895.967489
getIsuConditions,8335,73592.491668,0.008239,588.828531,71.588027,94.076718,168.900482
getIsuGraph,2509,53046.208078,0.007826,546.857948,51.601370,31.570074,137.433999
getIsuList,2589,45438.769863,0.007018,459.946734,44.201138,32.964559,137.313536
getIsuIcon,15058,41063.418044,0.013073,335.411353,39.944959,205.546785,121.513653
getIsuID,2733,40797.265056,0.008257,443.515322,39.686056,36.657148,115.520217
getIsuConditionsFromDB,7957,28567.949991,0.420175,360.726378,27.789835,88.782487,81.395080
getUserIDFromSession,32921,22878.336722,0.003580,533.213123,22.255191,424.480437,74.767300
postIsu,167,17559.013861,0.006674,382.688473,105.143796,4.286725,211.175323
postAuthentication,1099,13095.993930,0.002405,296.025205,12.739294,14.985658,47.873066
getMe,1009,9984.565372,0.005764,347.145604,9.895506,12.715734,42.690601
postSignout,521,9231.387275,0.005254,346.438686,17.718594,6.616689,65.041555
generateIsuGraphResponse,2239,6098.322040,0.462046,36.843122,5.932220,27.711738,15.695265
postIsuCondition,171601,3823.041061,0.000318,238.401889,3.718912,1799.823397,27.692101
getJIAServiceURL,164,789.400371,0.285094,27.861040,4.813417,4.099883,15.786113
getSession,34044,138.277168,0.001080,5.160299,0.134511,439.176507,0.288567
getIndex,4824,56.687238,0.012024,2.191173,0.055143,65.814040,0.143907
calculateGraphDataPoint,13837,34.954304,0.000975,8.039314,0.034002,143.224475,0.043068
isValidConditionFormat,303484,0.696863,0.000096,0.307556,0.000678,3078.115735,0.000575
calculateConditionLevel,3785795,0.263821,0.000078,0.045524,0.000257,39604.053124,0.000349
