key,count,sum,min,max,avg,rate,p95
getTrend,4071,485801.527109,36.980700,1641.281170,472.569579,46.088606,935.615213
getIsuConditions,8112,72959.923710,0.008670,480.016337,70.972688,74.308457,166.573156
getIsuGraph,2375,58106.587591,0.006963,846.293448,56.523918,16.139500,143.320888
getIsuList,2410,49535.819063,0.006990,466.882511,48.186594,14.807814,130.232864
getIsuIcon,13938,44246.545424,0.010035,461.544018,43.041387,83.637620,121.329440
getIsuID,2526,41990.693388,0.007541,569.808040,40.846978,15.545950,124.572363
getIsuConditionsFromDB,7734,31214.366920,0.491882,309.090855,30.364170,69.824170,91.096765
getUserIDFromSession,31047,21716.541384,0.004420,377.746456,21.125040,195.885089,63.870387
postIsu,176,17255.362133,0.007378,370.394928,98.041830,3.429054,177.573988
postAuthentication,1091,12609.099467,0.002569,293.033167,12.265661,6.702954,54.073480
getMe,996,9376.824417,0.006090,312.078592,9.414482,6.158645,37.759718
postSignout,514,9150.279498,0.006506,531.998548,17.802100,5.438116,59.490370
generateIsuGraphResponse,2102,6088.455068,0.440792,36.017046,5.922622,14.467888,14.889947
postIsuCondition,171457,3504.606130,0.000317,128.874834,3.409150,1453.364579,29.155230
getJIAServiceURL,173,870.201397,0.300346,21.382373,5.030066,3.283542,16.850546
getSession,32155,141.619158,0.001060,5.768113,0.137762,202.662599,0.317620
getIndex,4653,60.506112,0.012940,5.856005,0.058858,25.500907,0.108821
calculateGraphDataPoint,13415,24.954595,0.001022,1.576945,0.024275,96.803725,0.051295
isValidConditionFormat,298331,0.493891,0.000090,0.148731,0.000480,2127.673526,0.000610
calculateConditionLevel,3665837,0.205530,0.000077,0.016319,0.000200,27490.381653,0.000298
