key,count,sum,min,max,avg,rate,p95
getIsuList,4884,7492.516414,0.009030,32.280896,7.288440,42.929731,15.081134
getIsuGraph,729,4917.709722,0.006243,26.525361,6.745830,6.747822,14.861767
getIsuIcon,32149,4210.487923,0.403707,25.473648,4.095805,281.233943,9.322448
getUserIDFromSession,39915,3979.193837,0.003320,22.932495,3.870811,357.185946,9.790794
getIsuConditions,867,3762.418968,0.005770,30.439286,4.339584,8.896937,10.604530
postIsu,58,3217.221510,0.007537,70.722335,55.469336,3.169201,63.005709
getIsuID,789,2010.598680,0.005640,14.740661,2.548287,9.864621,7.310102
getIsuConditionsFromDB,664,1452.098809,0.420418,27.474376,2.186896,6.685833,5.531505
generateIsuGraphResponse,584,1023.136010,0.380979,15.523289,1.751945,5.168462,4.328716
postAuthentication,453,704.475655,0.002327,11.994157,1.555134,4.992737,6.442715
getMe,284,369.556155,0.005123,10.239536,1.301254,2.814767,6.367851
postSignout,155,323.366212,0.006043,12.620952,2.086234,1.531238,6.114913
getTrend,4025,294.710740,0.068078,12.221798,0.286684,35.588596,0.382829
getSession,40260,119.358522,0.001049,8.478736,0.116108,360.733256,0.160704
postIsuCondition,23687,84.100769,0.000260,14.126981,0.081810,217.770350,0.005763
getIndex,4237,33.353137,0.010044,1.571275,0.032445,40.031920,0.056458
calculateGraphDataPoint,500,7.909887,0.001019,0.191188,0.015820,13.064137,0.041050
isValidConditionFormat,5409,0.314694,0.000098,0.012003,0.000306,49.641566,0.000859
calculateConditionLevel,314572,0.221234,0.000082,0.007957,0.000215,2281.742522,0.000325
