key,count,sum,min,max,avg,rate,p95
getIsuList,6970,6290.768528,0.008480,23.217141,6.119425,48.516244,12.064748
getIsuGraph,876,5125.212022,0.005989,33.019779,5.850699,7.145428,12.514214
getIsuIcon,45222,3699.503063,0.027488,30.571033,3.598738,311.339906,7.911961
getIsuConditions,995,3614.384495,0.006888,21.234200,3.632547,8.339950,8.573517
getUserIDFromSession,55500,3373.318039,0.003060,31.525369,3.281438,389.428156,7.841498
postIsu,58,3182.745492,0.007512,70.503903,54.874922,1.643627,63.876441
getIsuID,899,1991.134106,0.006172,25.207819,2.214832,7.782165,6.355705
getIsuConditionsFromDB,750,1494.390895,0.419647,12.524970,1.992521,6.242641,4.990131
generateIsuGraphResponse,701,1082.557501,0.387550,14.094774,1.544305,5.647351,3.982757
postAuthentication,538,777.797662,0.002142,15.366846,1.445721,4.951751,6.188443
getMe,309,341.854781,0.005049,9.898902,1.106326,2.766851,4.725353
getTrend,4948,328.516436,0.072088,19.399001,0.319569,34.591592,0.586165
postSignout,171,299.853705,0.005617,9.824055,1.753530,1.465311,5.902094
getSession,55883,109.251375,0.001081,8.269953,0.106276,392.916947,0.158825
postIsuCondition,28646,83.005852,0.000296,13.137760,0.080745,200.581652,0.006075
getIndex,5166,51.585453,0.011304,8.421994,0.050180,39.055886,0.064673
calculateGraphDataPoint,535,8.163478,0.000984,0.146099,0.015259,15.730174,0.041437
calculateConditionLevel,404052,0.384649,0.000082,0.142553,0.000374,2862.812257,0.000356
isValidConditionFormat,5786,0.349523,0.000099,0.015801,0.000340,52.435345,0.000861
