key,count,sum,min,max,avg,rate,p95
getTrend,4018,487655.548817,15.703440,1791.756106,474.373102,25.059813,946.849070
getIsuConditions,8195,72750.491220,0.008272,700.342232,70.768960,55.334074,169.447700
getIsuGraph,2405,56498.602051,0.007564,491.275583,54.959730,17.353029,146.250564
getIsuList,2449,46016.284326,0.006916,465.939152,44.762922,17.273271,119.778360
getIsuID,2584,42246.772550,0.008317,347.104366,41.096082,19.645586,115.589694
getIsuIcon,14178,40271.513716,0.009513,389.768503,39.174624,102.705383,114.500731
getIsuConditionsFromDB,7817,27573.004661,0.392750,414.946651,26.821989,52.486568,77.919740
getUserIDFromSession,31493,22522.394305,0.003964,520.129474,21.908944,226.080041,83.939452
postIsu,167,16425.217730,0.006959,525.347100,98.354597,2.838234,187.744324
postAuthentication,1083,13639.753825,0.002402,385.018074,13.268243,8.055805,51.846130
postSignout,515,10064.198339,0.007859,520.191311,19.542133,3.664711,63.820416
getMe,1000,9342.790129,0.005467,325.343145,9.342790,7.120699,41.640555
generateIsuGraphResponse,2135,6026.665269,0.433293,37.500615,5.862515,15.330814,15.629875
postIsuCondition,169822,4227.312257,0.000266,302.714564,4.112171,1130.838260,29.943337
getJIAServiceURL,164,766.157081,0.295010,23.674413,4.671690,2.715061,16.834279
getSession,32603,150.361603,0.001024,8.130249,0.146266,234.069793,0.277430
getIndex,4619,65.338245,0.010312,5.433139,0.063559,32.131011,0.114878
calculateGraphDataPoint,13219,49.469755,0.001088,14.717075,0.048122,92.638367,0.053870
isValidConditionFormat,298865,0.329886,0.000103,0.010419,0.000321,1965.174689,0.000678
calculateConditionLevel,3758204,0.236880,0.000081,0.032115,0.000230,25665.776968,0.000351
