key,count,sum,min,max,avg,rate,p95
getIsuList,5473,7784.064618,0.007112,50.372857,7.572047,90.585325,15.461729
getIsuGraph,861,6109.237704,0.005909,40.284172,7.095514,14.857673,15.013250
getIsuIcon,35738,4542.536042,0.007546,48.742062,4.418809,583.973769,10.034877
getIsuConditions,976,4415.504097,0.005796,20.813253,4.524082,18.969358,10.670091
getUserIDFromSession,44529,4207.346202,0.004106,27.629212,4.092749,746.193874,10.241745
postIsu,58,3192.750200,0.009491,65.439052,55.047417,6.172761,64.452470
getIsuID,886,2348.025136,0.004951,20.069649,2.650141,21.198384,7.464976
getIsuConditionsFromDB,749,1677.016182,0.401646,17.255040,2.239007,14.359839,5.084028
generateIsuGraphResponse,696,1258.204977,0.388400,12.411289,1.807766,11.532422,4.859517
postAuthentication,526,953.929919,0.002073,32.725388,1.813555,10.921541,7.325347
getMe,348,429.035934,0.004810,11.747345,1.232862,6.749499,5.129222
postSignout,189,412.553999,0.006004,8.700182,2.182825,3.589938,5.962529
getTrend,4686,349.028954,0.073901,11.271371,0.339522,78.744027,0.593878
getSession,44945,120.461718,0.000988,8.156759,0.117181,754.567219,0.154102
postIsuCondition,27177,45.418924,0.000254,12.487553,0.044182,469.124290,0.005653
getIndex,4927,35.877585,0.010570,2.921255,0.034900,87.438792,0.054991
calculateGraphDataPoint,581,11.737458,0.000996,1.383722,0.020202,26.465922,0.039384
isValidConditionFormat,6101,0.328981,0.000099,0.014901,0.000320,109.348281,0.000840
calculateConditionLevel,379629,0.224370,0.000080,0.010858,0.000218,5294.122360,0.000315
