key,count,sum,min,max,avg,rate,p95
getTrend,1,20.143520,20.143520,20.143520,20.143520,0.057301,20.143520
postAuthentication,2,8.976924,0.536750,8.440174,4.488462,0.114602,8.440174
getIsuList,2,3.976458,1.227425,2.749033,1.988229,0.114602,2.749033
getUserIDFromSession,6,2.663534,0.358427,0.634973,0.443922,0.343806,0.634973
getIsuID,2,2.290280,1.005685,1.284595,1.145140,0.114602,1.284595
getIndex,9,1.843681,0.018999,1.621710,0.204853,0.089372,1.621710
getMe,2,1.139630,0.482991,0.656639,0.569815,0.114602,0.656639
getSession,8,0.475220,0.004468,0.090137,0.059402,0.458408,0.090137
postIsuCondition,1,0.037588,0.037588,0.037588,0.037588,0.057301,0.037588
calculateConditionLevel,34,0.020525,0.000114,0.005766,0.000604,1.948233,0.002195
