key,count,sum,min,max,avg,rate,p95
getTrend,2412,510653.715851,35.005132,1534.687881,496.744860,25.182824,1020.885746
getIsuConditions,9173,96238.499752,0.008593,631.089114,93.617218,72.232185,237.253983
getIsuGraph,1754,64441.598841,0.007692,454.759207,62.686380,16.419452,177.348798
getIsuList,1487,51779.191811,0.007640,403.832270,50.368864,15.702182,154.818671
getIsuIcon,8304,46887.840772,0.009300,486.598961,45.610740,98.697732,133.645758
getIsuID,1648,44705.519720,0.007039,406.245487,43.487860,18.635369,133.968705
getIsuConditionsFromDB,8816,38629.884363,0.484379,491.302582,37.577709,68.757941,107.923790
getUserIDFromSession,23470,26352.041980,0.004484,311.291037,25.634282,234.050465,83.797309
postIsu,139,14192.229314,0.009439,436.518439,102.102369,2.845745,230.122945
postAuthentication,866,10298.603532,0.002282,426.053277,11.892152,8.506771,51.461605
postIsuCondition,163781,7962.948375,0.000322,478.751338,7.746059,1202.001359,47.123991
generateIsuGraphResponse,1499,6813.993772,0.405163,54.420078,6.628399,13.938685,17.663368
postSignout,332,6365.002464,0.006993,300.927320,19.171694,3.308810,69.126097
getMe,633,5952.535428,0.005760,256.946278,9.403689,6.216653,51.968971
getJIAServiceURL,136,625.791855,0.302405,25.969614,4.601411,2.711867,15.769672
getSession,24207,130.723072,0.000930,3.768150,0.127163,241.332966,0.291316
getIndex,2806,80.443069,0.011645,15.090168,0.078252,12.881396,0.129417
calculateGraphDataPoint,15944,26.088115,0.001066,0.954529,0.025378,113.290603,0.054926
isValidConditionFormat,504602,0.544220,0.000097,0.185196,0.000529,3586.557961,0.000616
calculateConditionLevel,6785971,0.199419,0.000081,0.010481,0.000194,49261.488196,0.000278
