key,count,sum,min,max,avg,rate,p95
getIndexWithDelay,4831,11672.757188,10.013630,25.296197,11.354822,39.324575,16.146033
getIsuList,9555,7148.572166,0.006933,25.834217,6.953864,125.566562,13.806782
getIsuGraph,1423,6952.692161,0.005894,34.006945,6.763319,17.967977,13.920230
getIsuConditions,1456,4343.630200,0.005700,20.751740,4.225321,20.677837,10.023110
getIsuIcon,61585,3893.761166,0.007679,20.246832,3.787705,809.036023,8.629362
getUserIDFromSession,76061,3527.955516,0.004635,17.451200,3.431863,1008.889186,7.970848
postIsu,58,3186.110208,0.006549,67.823472,54.932935,4.425117,66.706052
getIsuID,1299,2447.289759,0.006174,16.515037,2.380632,21.247723,6.673077
getIsuConditionsFromDB,1111,2357.845428,0.421538,14.630426,2.293624,15.705445,5.649724
generateIsuGraphResponse,1173,1869.793736,0.385053,22.578951,1.818866,14.385712,4.565721
postAuthentication,751,1172.268876,0.002366,19.849260,1.560944,11.856684,6.232865
getMe,441,505.654365,0.005287,11.891264,1.146609,6.346482,5.182845
postSignout,244,473.041750,0.007041,15.701980,1.938696,3.482737,5.215174
getTrend,4552,319.785024,0.067856,10.056821,0.311075,71.693871,0.537684
getSession,76604,132.504659,0.000690,7.698248,0.128896,1017.463208,0.179780
postIsuCondition,41312,57.221720,0.000240,11.093505,0.055663,567.136351,0.002232
calculateGraphDataPoint,964,26.721015,0.000981,4.882576,0.027719,22.618335,0.044407
getIndex,33,0.743858,0.017406,0.042762,0.022541,2.639008,0.034093
isValidConditionFormat,10679,0.402931,0.000097,0.039237,0.000392,126.119863,0.000891
calculateConditionLevel,402880,0.273827,0.000080,0.013052,0.000266,4865.806553,0.000478
