key,count,sum,min,max,avg,rate,p95
getTrend,1877,491664.580818,32.248937,2128.433291,478.272939,24.937904,1107.797237
getIsuConditions,8202,121401.177224,0.008975,1142.733538,118.094530,80.013456,322.786409
getIsuGraph,1204,71863.543578,0.007127,725.545329,69.906171,15.163028,222.086748
getIsuIcon,5798,51860.488108,0.008500,617.291541,50.447946,94.369947,183.727180
getIsuConditionsFromDB,7880,50108.844409,0.426423,960.628939,48.744012,76.171640,152.380376
getIsuList,1031,49238.489493,0.007237,578.272519,47.897363,14.870757,159.249309
getIsuID,1181,44990.184313,0.007301,458.786989,43.764771,18.549793,143.814599
getUserIDFromSession,18162,33489.843880,0.004095,757.452811,32.577669,235.103736,131.226302
postIsuCondition,153621,17546.627991,0.000334,400.075528,17.068704,1421.039222,91.462104
postIsu,129,12083.267667,0.007168,411.457827,93.668742,3.572385,177.387084
postAuthentication,697,8351.108275,0.002283,603.860977,11.981504,9.288464,60.414581
generateIsuGraphResponse,974,6020.246471,0.441733,39.099577,6.180951,12.198884,16.707566
getMe,402,4660.408703,0.005205,709.662389,11.593056,5.534866,54.253997
postSignout,215,3296.058403,0.006458,231.165998,15.330504,2.986887,55.941771
getJIAServiceURL,126,436.011236,0.308256,18.047117,3.460407,3.400482,12.012870
getSession,18658,134.430868,0.001018,8.113224,0.130769,242.081082,0.265961
getIndex,2152,68.151665,0.010961,13.422932,0.066295,12.053720,0.126007
calculateGraphDataPoint,12995,28.395401,0.001060,1.468761,0.027622,113.944681,0.056130
isValidConditionFormat,612266,0.354965,0.000097,0.062746,0.000345,5479.770919,0.000585
calculateConditionLevel,7480753,0.194767,0.000079,0.008359,0.000189,68129.355183,0.000259
