key,count,sum,min,max,avg,rate,p95
getTrend,2474,478200.274302,30.660671,2010.201238,465.175364,25.577699,1054.376847
getIsuConditions,10846,75114.985962,0.008493,946.361489,73.069052,73.921133,206.796422
getIsuGraph,2127,71377.349233,0.008358,773.323550,69.433219,17.571463,188.792862
getIsuList,2076,55384.659061,0.007652,752.495068,53.876127,18.319356,163.244240
getIsuConditionsFromDB,10482,42603.252666,0.391175,475.109013,41.442853,70.745029,119.340135
getUserIDFromSession,30430,27580.388629,0.004127,279.844833,26.829172,262.900855,91.255737
getIsuID,2237,25312.044133,0.006831,254.830267,24.622611,20.905831,91.386843
getIsuIcon,11660,24158.881911,0.008109,233.906619,23.500858,116.777749,81.591722
postAuthentication,1014,12748.104743,0.002582,245.779834,12.572095,9.298900,58.025848
postIsu,135,11433.191587,0.007380,386.150257,84.690308,2.391647,156.448065
getMe,888,9681.237445,0.005504,178.197563,10.902294,8.544214,58.095230
postIsuCondition,159948,9390.032639,0.000310,324.767470,9.134273,1012.849308,54.450180
postSignout,461,8849.272100,0.007255,292.138253,19.195818,4.447097,68.768872
generateIsuGraphResponse,1864,7624.391132,0.431680,37.136420,7.416723,15.281438,21.299976
getSession,31426,138.577258,0.001070,14.393194,0.134803,272.407440,0.277199
getIndex,3016,50.993889,0.011179,5.615579,0.049605,33.236957,0.107874
calculateGraphDataPoint,20008,29.630494,0.001093,4.395202,0.028823,120.214565,0.050193
isValidConditionFormat,534172,0.241596,0.000095,0.007099,0.000235,3233.857154,0.000493
calculateConditionLevel,8429778,0.171794,0.000078,0.014107,0.000167,51056.857075,0.000257
